KEGG_Drug_ID,CanSmiles,class_index
C12034,CC1C(C(CC(O1)OC2C3C(=O)NC(C4=C(C(=CC(=C4)O)O)C5=C(C=CC(=C5)C(C(=O)N3)NC(=O)C6C7=CC(=C(C(=C7)OC8=C(C=C2C=C8)Cl)OC9C(C(C(C(O9)CO)O)O)OC1CC(C(C(O1)C)O)(C)NCC1=CC=C(C=C1)C1=CC=C(C=C1)Cl)OC1=C(C=C(C=C1)C(C(C(=O)NC(C(=O)N6)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)O)C(=O)O)(C)N)O,6
C12768,C[N+]1(CC(CC(=C(C2=CC=CS2)C3=CC=CS3)C1)OC)C.[Br-],0
C13072,C1=CC=NC(=C1)C(C2=CC=C(C=C2)OS(=O)(=O)[O-])C3=CC=C(C=C3)OS(=O)(=O)[O-].[Na+].[Na+],0
C13786,C1CCCN(CC1)CCOC(=O)C(C2CCCCC2)C3=CSC=C3,2
C13827,C(Cl)(Cl)Cl,9
C13650,C1CN(CC2=CC=CC=C21)C(=N)N,2
C14163,C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O,4
C14165,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)N(C)C(=O)C)I,13
C14214,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,10
D00002,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,0
D00003,O=O,13
D00004,C(=O)=O,13
D00006,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O.O,0
D00011,C(C(=O)O)N,1
D00014,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N,13
D00015,C(CC(=O)N)C(C(=O)O)N,0
D00019,CSCCC(C(=O)O)N,13
D00020,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,9
D00024,S,3
D00028,C(C(CO)O)O,0
D00029,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,0
D00036,C1=CC(=CN=C1)C(=O)N,0
D00037,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,0
D00042,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[CH2-]C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co],1
D00043,CC(C)OP(=O)(OC(C)C)F,12
D00045,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,2
D00048,C1CSSC1CCCCC(=O)N,0
D00049,C1=CC(=CN=C1)C(=O)O,2
D00052,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,13
D00057,C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O,9
D00058,C(CC(=O)O)CN,9
D00059,C1=CC(=C(C=C1CC(C(=O)O)N)O)O,9
D00066,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,4
D00067,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O,4
D00073,C1=CC(=CC=C1O)O,3
D00074,[N]=O,11
D00075,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,4
D00076,C1=CC(=C(C=C1C(CN)O)O)O,2
D00077,C1=CC=C(C=C1)CO,10
D00079,CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O,4
D00081,CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O,4
D00083,N#N,13
D00086,C1CSSC1CCCCC(=O)O,0
D00089,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)N1)CC2=CC=C(C=C2)O)N)C(=O)N3CCCC3C(=O)NC(CC(C)C)C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N,5
D00098,CC1(C2CCC1(C(=O)C2)C)C,2
D00102,[N-]=[N+]=O,9
D00105,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,4
D00106,CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O,1
D00108,II,3
D00111,CC(C(=O)O)O,4
D00112,CC1C(C(C(C(O1)OC2CC(C3(C4C(CCC3(C2)O)C5(CCC(C5(CC4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O,2
D00120,CC1=C(C2=C(C1=CC3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,8
D00125,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,7
D00130,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,9
D00132,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,8
D00134,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,10
D00136,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,9
D00137,CC(C)O,3
D00139,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,3
D00142,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,7
D00144,C1=CN=C(C=N1)C(=O)N,6
D00145,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,6
D00147,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,0
D00148,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C,1
D00151,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,8
D00152,C1=C(C=C(C=C1O)O)O,0
D00155,C1C(C(OC1N2C=NC3=C2NC=NCC3O)CO)O,7
D00156,CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C,3
D00157,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C,0
D00158,CC1=CC=C(C=C1)C(=O)C2=CC=C(N2C)CC(=O)[O-].O.O.[Na+],8
D00160,C(CCC(=O)O)CCN,1
D00161,C1=NC2=C(N1)C(=S)N=CN2.O,7
D00162,C1=CC(=C(C=C1N)O)C(=O)O,6
D00163,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C,0
D00166,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3],1
D00167,C(C(CS)S)O,13
D00168,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,7
D00169,CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)[O-])Cl.O.[Na+],8
D00170,CC1=CC(=O)OC2=C1C=CC(=C2)O,0
D00175,C(C(C(=O)O)N)SCC(=O)O,11
D00176,C1CC(N(C1)C(=O)C(CC2=CN=CN2)NC(=O)C3CCC(=O)N3)C(=O)N,13
D00177,C[S+](C)CCC(C(=O)O)N.[Cl-],0
D00178,C1=CC(=CC=C1C(CN)O)O.Cl,2
D00181,CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C.O,1
D00182,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34,4
D00183,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,6
D00185,CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O,4
D00187,CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,0
D00188,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,0
D00190,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O.O.O.O,2
D00195,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O.O,11
D00197,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,2
D00198,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C=CC6=CC(=C(C(=C6)OC)OC)OC,2
D00199,CCC1C2CC3C4C5(CC(C2C5O)N3C1O)C6=CC=CC=C6N4C,2
D00208,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,7
D00209,CC1CC(=O)C=C(C12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,3
D00211,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)C,6
D00214,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,7
D00215,C(CO)N(CCO)CCO,3
D00216,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO,0
D00217,CC(=O)NC1=CC=C(C=C1)O,9
D00218,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,12
D00219,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,0
D00220,CC(=O)NO,4
D00223,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)O,6
D00224,C1=NNC2=C1C(=O)NC=N2,8
D00225,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,9
D00226,C(CN)CNCCSP(=O)(O)O.O.O.O,13
D00227,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,11
D00228,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,9
D00229,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,6
D00230,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C.C1C2N(C1=O)C(C(=CCO)O2)C(=O)[O-].[K+],6
D00231,C1=CN=CC=C1C2=CNC(=O)C(=C2)N,2
D00233,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,3
D00234,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,11
D00235,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,2
D00236,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,10
D00238,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],7
D00240,CC1C(C(=O)N1S(=O)(=O)[O-])NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=[NH+]2)N,6
D00241,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,8
D00242,CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,11
D00245,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3,0
D00247,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,2
D00248,CS(=O)(=O)OCCCCOS(=O)(=O)C,7
D00249,CC(C)CC1C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)N1)CC(=O)N)CO)N)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC2=CN=CN2)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(C(C)O)C(=O)NC(CC3=CC=C(C=C3)O)C(=O)N4CCCC4C(=O)NC(CCCNC(=N)N)C(=O)NC(C(C)O)C(=O)NC(CC(=O)N)C(=O)NC(C(C)O)C(=O)NCC(=O)NC(CO)C(=O)NCC(=O)NC(C(C)O)C(=O)N5CCCC5C(=O)N)C(C)O)CO,5
D00251,CC(CS)C(=O)N1CCCC1C(=O)O,2
D00252,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,9
D00254,C(CCl)NC(=O)N(CCCl)N=O,7
D00255,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,2
D00256,C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)Cl,6
D00257,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O,6
D00258,C=CC1=C(N2C(C(C2=O)NC(=O)C(=NOCC(=O)O)C3=CSC(=N3)N)SC1)C(=O)O,6
D00259,C1C(=C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3CN)C(=O)O)CSC4=NN=NN4CC(=O)O,6
D00260,CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)(NC(=O)C4SC(=C(C(=O)N)C(=O)O)S4)OC)SC2)C(=O)O,6
D00261,CC=CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O.O,6
D00263,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)N)SC1)C(=O)O,6
D00264,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CCC=CC3)N)SC1)C(=O)O,6
D00265,C(C(Cl)(Cl)Cl)(O)O,9
D00266,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,7
D00267,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,9
D00268,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,8
D00269,COC1=CC=C(C=C1)C(=C(C2=CC=C(C=C2)OC)Cl)C3=CC=C(C=C3)OC,4
D00270,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,9
D00271,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,0
D00272,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,2
D00273,C1=CN(C(=O)N=C1N)CC(CO)OCP(=O)(O)O.O.O,6
D00274,COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,0
D00275,N.N.Cl[Pt]Cl,7
D00276,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,6
D00278,CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl,6
D00279,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,2
D00280,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,9
D00283,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,9
D00284,CC(C)C(C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)N1CCCC1C(=O)NC(C(C)C)C(=O)NC(CCCCN)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)N3CCCC3C(=O)O)NC(=O)C4CCCN4C(=O)C(CCCCN)NC(=O)CNC(=O)C(CC5=CNC6=CC=CC=C65)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC7=CC=CC=C7)NC(=O)C(CC8=CNC=N8)NC(=O)C(CCC(=O)O)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(CC9=CC=C(C=C9)O)NC(=O)C(CO)N,5
D00285,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N.COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,6
D00286,CC1CC(CC(C1)(C)C)OC(=O)C(C2=CC=CC=C2)O,2
D00287,C1CNP(=O)(OC1)N(CCCl)CCCl.O,7
D00288,CN(C)N=NC1=C(NC=N1)C(=O)N,7
D00289,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC5=C(CC34C)C=NO5,4
D00291,C1CC(N(C1)C(=O)C2CSSCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N,5
D00293,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,9
D00295,CC1=C(N=CN1)CSCCNC(=NC)NC#N,0
D00296,C1CC(OC1CO)N2C=NC3=C2N=CNC3=O,6
D00297,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O,2
D00298,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,2
D00299,CC1CCC(CC1=CC=C2CCCC3(C2CCC3C(C)C=CC(C)C(C)C)C)O,0
D00302,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,1
D00303,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,2
D00304,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],9
D00305,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],0
D00306,CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O,0
D00308,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,9
D00310,CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O,6
D00311,C1C2=NN=CN2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4,9
D00312,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)[O-].[Na+],4
D00313,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,2
D00314,CC(O)(P(=O)(O)[O-])P(=O)(O)[O-].[Na+].[Na+],8
D00315,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,8
D00316,CCOC(=O)C=C(C)C=CC=C(C)C=CC1=C(C(=C(C=C1C)OC)C)C,3
D00318,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,0
D00319,CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C,2
D00320,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,9
D00324,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C.CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C.O,11
D00326,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,9
D00327,CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C)O)C)O)F,4
D00328,CC1(OC2CC3C4CC(C5=CC(=O)CCC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C,3
D00329,CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F,9
D00331,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,2
D00332,C1CCC(CC1)(CC(=O)O)CN,9
D00334,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,2
D00335,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,0
D00336,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,0
D00337,COC1=CC=CC=C1OCC(CO)O,11
D00338,C1C(=O)N(C2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3)CC(F)(F)F,9
